ID	Genus	Species	Family	Order	Sexe	Age	Habitat_5_classes	Habitat_code_5_classes	Habitat_3_classes	Habitat_code_3_classes	Prey_7_classes	Prey_code_7_classes	Prey_5_classes	Prey_code_5_classes	Feeding ref.	Ontogenetic shift
LACMNH 43856	Galeocerdo	Galeocerdo_cuvier	Carcharhinidae	Carcharhiniformes	NA	NA	pelagic	3	pelagic	3	generalist	3	generalist	5	"Cortes 1999 (fish 35.4%, chon 8%, reptiles 23.8%, crustaceans 12.2%, birds 10.4%, n=1209); Bornatowski et al. 2014 (juv: fish 65.6 %IRI, elasmobranchs 23.3 %IRI,n=22)"	
23690	Galeorhinus	Galeorhinus_galeus	Triakidae	Carcharhiniformes	m	NA	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 79.2%, n=68); Lucifora et al. 2006 (juv: fish 75 %IRI, ad: fish 80.14 %IRI, n=45 & 123 resp.); Dunn et al. 2010 (fish 97.7 %IRI, n=23)"	
RMNH.PISC.36345	Galeorhinus	Galeorhinus_galeus	Triakidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 79.2%, n=68); Lucifora et al. 2006 (juv: fish 75 %IRI, ad: fish 80.14 %IRI, n=45 & 123 resp.); Dunn et al. 2010 (fish 97.7 %IRI, n=23)"	
verznr.3	Galeorhinus	Galeorhinus_galeus	Triakidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 79.2%, n=68); Lucifora et al. 2006 (juv: fish 75 %IRI, ad: fish 80.14 %IRI, n=45 & 123 resp.); Dunn et al. 2010 (fish 97.7 %IRI, n=23)"	
verznr.7	Galeorhinus	Galeorhinus_galeus	Triakidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 79.2%, n=68); Lucifora et al. 2006 (juv: fish 75 %IRI, ad:80.14 %IRI, n=45 & 123 resp.); Dunn et al. 2010 (fish 97.7 %IRI, n=23)"	
23617	Galeus	Galeus_melastomus	Scyliorhinidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	generalist	3	generalist	5	"Saldanha et al. 1995 (fish 0,92 %N, cephalopoda 0,18 %N, decapoda 0,18 %N, n=52); Cortes 1999 (fish 32.9%, crustaceans 32.3%, zooplankton 16.5%, invertebrates 14.4%, n=3716); Olaso et al. 2005 (fish 56.3 %V, decapoda 21,8 %V, n=794);Valls et al. 2011 (MS: zooplankton 42.97 %IRI, fish 25.61 %IRI, cephalopods 15.93 %IRI, US: zooplankton 92.59 %IRI, n=167 & 170 resp.); Anastasopoulou et al. 2013 (summer: cephalopods 68 %IRI, fish 28 %IRI, autumn: fish 53 %IRI, cephalopods 28 %IRI, n=727)"	
ZMA108710	Ginglymostoma	Ginglymostoma_cirratum	Ginglymostomatidae	Orectolobiformes	f	NA	reef	1	reef	1	generalist	3	generalist	5	"Cortes 1999 (crustaceans 55.6%, fish 25%, cephalopods 19,4%, n=16); Castro 2000 (fish 89 %O, n=41, overview suggests large amount of invertebrates as well)"	
33989	Halaelurus	Halaelurus_boesemani	Scyliorhinidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	NA	NA	NA	NA	NA	
34025	Halaelurus	Halaelurus_boesemani	Scyliorhinidae	Carcharhiniformes	m	ad	demersal	2	demersal	2	NA	NA	NA	NA	NA	
7399	Halaelurus	Halaelurus_buergeri	Scyliorhinidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	fish (personal observation n=1)	
