state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
8120000	0.000	0.890	0.000	2	0	0.000	0.008	0.016	117.45	-41.80	-0.00	0.00
8130000	0.000	41.078	0.000	3	0	0.000	0.005	0.036	116.03	-43.34	-0.02	0.00
8140000	0.000	2.022	0.000	3	0	0.000	0.002	0.042	117.80	-43.27	0.00	-6.49
8150000	0.000	0.263	0.000	3	0	0.000	0.002	0.017	120.71	-43.27	-0.00	0.00
8160000	0.000	4.061	0.000	3	0	0.000	0.007	-0.038	116.60	-43.27	0.00	-6.36
8170000	0.000	0.048	0.000	2	0	0.000	0.008	-0.042	117.55	-41.80	0.00	-5.96
8180000	0.000	0.007	0.000	2	0	0.000	0.002	0.039	119.67	-41.80	-0.01	0.00
8190000	0.000	1.064	0.000	2	0	0.000	0.003	-0.001	120.21	-41.80	0.00	-0.50
8200000	0.000	2.013	0.000	2	0	0.000	0.002	0.019	116.04	-41.81	-0.00	-0.69
8210000	0.000	0.200	0.000	2	0	0.000	0.001	0.041	120.35	-41.80	-0.00	0.00
8220000	0.000	0.253	0.000	1	0	0.000	0.007	-0.038	120.08	-40.75	-0.00	0.00
8230000	0.000	0.238	0.000	2	0	0.000	0.002	0.027	126.52	-41.80	0.00	0.00
8240000	0.000	0.173	0.000	1	0	0.000	0.008	-0.006	120.39	-40.75	-0.00	0.00
8250000	0.000	0.225	0.000	1	0	0.000	0.006	-0.048	119.69	-40.75	0.00	-6.43
8260000	0.000	1.173	0.000	1	0	0.000	0.016	0.031	117.08	-40.75	0.00	-6.37
8270000	0.000	0.001	0.000	1	0	0.000	0.003	0.008	123.38	-40.75	0.00	0.00
8280000	0.000	7.244	0.000	1	0	0.000	0.002	-0.063	118.65	-40.75	-0.00	0.71
8290000	0.000	18.422	0.000	2	0	0.000	0.011	0.043	114.24	-41.82	-0.03	-0.69
8300000	0.000	0.311	0.000	1	0	0.000	0.001	-0.075	119.80	-40.75	-0.00	0.00
8310000	0.000	22.480	0.000	1	0	0.000	0.003	-0.018	118.44	-40.77	0.02	0.00
8320000	0.000	1.284	0.000	1	0	0.000	0.001	-0.029	119.51	-40.75	-0.00	0.00
8330000	0.000	65.358	0.000	2	0	0.000	0.007	-0.004	116.64	-41.89	0.00	-6.56
